NAICS Description,naics2002,data,total
,23819,est. rec.,6850651
"Other Foundation, Structure, and Building Exterior Contractors",238190,firms,5701
,238190,estab.,5720
,238190,empl.,45035
,238190,ann. pay.,1937821
,238190,est. rec.,6850651
Building Equipment Contractors,2382,firms,184238
,2382,estab.,187856
,2382,empl.,1961787
,2382,ann. pay.,93655308
,2382,est. rec.,310910464
Electrical Contractors,23821,firms,79011
,23821,estab.,80172
,23821,empl.,825169
,23821,ann. pay.,39278461
,23821,est. rec.,124899082
Electrical Contractors,238210,firms,79011
,238210,estab.,80172
,238210,empl.,825169
,238210,ann. pay.,39278461
,238210,est. rec.,124899082
"Plumbing, Heating, and Air-Conditioning Contractors",23822,firms,99374
,23822,estab.,100806
,23822,empl.,1012541
,23822,ann. pay.,47153832
,23822,est. rec.,162189325
"Plumbing, Heating, and Air-Conditioning Contractors",238220,firms,99374
,238220,estab.,100806
,238220,empl.,1012541
,238220,ann. pay.,47153832
,238220,est. rec.,162189325
Other Building Equipment Contractors,23829,firms,5917
,23829,estab.,6878
,23829,empl.,124077
,23829,ann. pay.,7223015
,23829,est. rec.,23822057
Other Building Equipment Contractors,238290,firms,5917
,238290,estab.,6878
,238290,empl.,124077
,238290,ann. pay.,7223015
,238290,est. rec.,23822057
Building Finishing Contractors,2383,firms,133089
,2383,estab.,134306
,2383,empl.,944084
,2383,ann. pay.,35164307
,2383,est. rec.,121134419
Drywall and Insulation Contractors,23831,firms,21785
,23831,estab.,22458
,23831,empl.,320238
,23831,ann. pay.,12655254
,23831,est. rec.,40878786
Drywall and Insulation Contractors,238310,firms,21785
,238310,estab.,22458
,238310,empl.,320238
,238310,ann. pay.,12655254
,238310,est. rec.,40878786
Painting and Wall Covering Contractors,23832,firms,41376
,23832,estab.,41457
,23832,empl.,233903
,23832,ann. pay.,7973432
,23832,est. rec.,23428014
Painting and Wall Covering Contractors,238320,firms,41376
,238320,estab.,41457
,238320,empl.,233903
,238320,ann. pay.,7973432
,238320,est. rec.,23428014
Flooring Contractors,23833,firms,16787
,23833,estab.,16927
,23833,empl.,85000
,23833,ann. pay.,3229717
,23833,est. rec.,14544194
Flooring Contractors,238330,firms,16787
,238330,estab.,16927
,238330,empl.,85000
,238330,ann. pay.,3229717
,238330,est. rec.,14544194
Tile and Terrazzo Contractors,23834,firms,11945
,23834,estab.,11965
,23834,empl.,70580
,23834,ann. pay.,2516783
,23834,est. rec.,8914456
Tile and Terrazzo Contractors,238340,firms,11945
,238340,estab.,11965
,238340,empl.,70580
,238340,ann. pay.,2516783
,238340,est. rec.,8914456
Finish Carpentry Contractors,23835,firms,34079
,23835,estab.,34263
,23835,empl.,163932
,23835,ann. pay.,5908096
,23835,est. rec.,23911635
Finish Carpentry Contractors,238350,firms,34079
,238350,estab.,34263
,238350,empl.,163932
,238350,ann. pay.,5908096
,238350,est. rec.,23911635
Other Building Finishing Contractors,23839,firms,7140
,23839,estab.,7236
,23839,empl.,70431
,23839,ann. pay.,2881025
,23839,est. rec.,9457334
Other Building Finishing Contractors,238390,firms,7140
,238390,estab.,7236
,238390,empl.,70431
,238390,ann. pay.,2881025
,238390,est. rec.,9457334
Other Specialty Trade Contractors,2389,firms,76541
,2389,estab.,77243
,2389,empl.,570129
,2389,ann. pay.,25018605
,2389,est. rec.,107114532
Site Preparation Contractors,23891,firms,41251
,23891,estab.,41517
,23891,empl.,331237
,23891,ann. pay.,14939964
,23891,est. rec.,65686103
Site Preparation Contractors,238910,firms,41251
,238910,estab.,41517
,238910,empl.,331237
,238910,ann. pay.,14939964
,238910,est. rec.,65686103
All Other Specialty Trade Contractors,23899,firms,35298
,23899,estab.,35726
,23899,empl.,238892
,23899,ann. pay.,10078641
,23899,est. rec.,41428429
All Other Specialty Trade Contractors,238990,firms,35298
,238990,estab.,35726
,238990,empl.,238892
,238990,ann. pay.,10078641
,238990,est. rec.,41428429
Manufacturing,31-33,firms,286701
,31-33,estab.,331355
,31-33,empl.,13320172
,31-33,ann. pay.,626529930
,31-33,est. rec.,5292235575
Food Manufacturing,311,firms,21591
,311,estab.,25796
,311,empl.,1439266
,311,ann. pay.,51002471
,311,est. rec.,590833582
Animal Food Manufacturing,3111,firms,1228
,3111,estab.,1817
,3111,empl.,46983
,3111,ann. pay.,2210426
,3111,est. rec.,38441258
Animal Food Manufacturing,31111,firms,1228
,31111,estab.,1817
,31111,empl.,46983
,31111,ann. pay.,2210426
,31111,est. rec.,38441258
Dog and Cat Food Manufacturing,311111,firms,212
,311111,estab.,284
,311111,empl.,16571
,311111,ann. pay.,1006306
,311111,est. rec.,14332830
Other Animal Food Manufacturing,311119,firms,1023
,311119,estab.,1533
,311119,empl.,30412
,311119,ann. pay.,1204120
,311119,est. rec.,24108428
Grain and Oilseed Milling,3112,firms,500
,3112,estab.,830
,3112,empl.,58049
,3112,ann. pay.,2952628
,3112,est. rec.,72283496
Flour Milling and Malt Manufacturing,31121,firms,261
,31121,estab.,402
,31121,empl.,16072
,31121,ann. pay.,702619
,31121,est. rec.,13723383
Flour Milling,311211,firms,188
,311211,estab.,309
,311211,empl.,11715
,311211,ann. pay.,514578
,311211,est. rec.,10230341
Rice Milling,311212,firms,61
,311212,estab.,67
,311212,empl.,3395
,311212,ann. pay.,136518
,311212,est. rec.,2703571
Malt Manufacturing,311213,firms,16
,311213,estab.,26
,311213,empl.,962
,311213,ann. pay.,51523
,311213,est. rec.,789471
Starch and Vegetable Fats and Oils Manufacturing,31122,firms,211
,31122,estab.,360
,31122,empl.,26990
,31122,ann. pay.,1399962
,31122,est. rec.,47666013
Wet Corn Milling,311221,firms,37
,311221,estab.,68
,311221,empl.,8935
,311221,ann. pay.,564756
,311221,est. rec.,12624436
Soybean Processing,311222,firms,74
,311222,estab.,126
,311222,empl.,7097
,311222,ann. pay.,336805
,311222,est. rec.,19698535
Other Oilseed Processing,311223,firms,37
,311223,estab.,45
,311223,empl.,2524
,311223,ann. pay.,116678
,311223,est. rec.,2409990
Fats and Oils Refining and Blending,311225,firms,76
,311225,estab.,121
,311225,empl.,8434
